timestamp_utc,yahoo_csv,yahoo_col,yahoo_S0,yahoo_sigma_annual,yahoo_mu_annual,yahoo_n_prices,yahoo_n_returns,S0,sigma,mu,K,r,T,steps,paths,type,assets,rho,block_size,blocks_per_sm,device,slurm_procid,slurm_localid,seed,gpu_name,cc_major,cc_minor,gpu_price,gpu_std_error,gpu_time_ms,cpu_price,cpu_std_error,cpu_time_ms,total_threads
2025-12-18T07:09:49Z,data/2330_TW.csv,Close,1435,0.295349,0.214106,1214,1213,1435,0.295349,0.214106,,0.05,1,1000,10000000,avg_path,,,,,,0,0,1234,,,,,,,,,127326,4
2025-12-18T09:25:35Z,data/2330_TW.csv,Close,1435,0.295349,0.214106,1214,1213,1435,0.295349,0.214106,,0.05,1,1000,10000000,avg_path,,,,,,0,0,1234,,,,,,,,,125993
